 current generation is : 17157 and best solution fitness is : 7228.05402214221
 current generation is : 17158 and best solution fitness is : 7228.05402214221
 current generation is : 17159 and best solution fitness is : 7228.05402214221
 current generation is : 17160 and best solution fitness is : 7228.05402214221
 current generation is : 17161 and best solution fitness is : 7228.05402214221
 current generation is : 17162 and best solution fitness is : 7228.05402214221
 current generation is : 17163 and best solution fitness is : 7228.05402214221
 current generation is : 17164 and best solution fitness is : 7228.05402214221
 current generation is : 17165 and best solution fitness is : 7228.05402214221
 current generation is : 17166 and best solution fitness is : 7228.05402214221
 current generation is : 17167 and best solution fitness is : 7228.05402214221
 current generation is : 17168 and best solution fitness is : 7228.05402214221
 current generation is : 17169 and best solution fitness is : 7228.05402214221
 current generation is : 17170 and best solution fitness is : 7228.05402214221
 current generation is : 17171 and best solution fitness is : 7228.05402214221
 current generation is : 17172 and best solution fitness is : 7228.05402214221
 current generation is : 17173 and best solution fitness is : 7228.05402214221
 current generation is : 17174 and best solution fitness is : 7228.05402214221
 current generation is : 17175 and best solution fitness is : 7228.05402214221
 current generation is : 17176 and best solution fitness is : 7228.05402214221
 current generation is : 17177 and best solution fitness is : 7228.05402214221
 current generation is : 17178 and best solution fitness is : 7228.05402214221
 current generation is : 17179 and best solution fitness is : 7228.05402214221
 current generation is : 17180 and best solution fitness is : 7228.05402214221
 current generation is : 17181 and best solution fitness is : 7228.05402214221
 current generation is : 17182 and best solution fitness is : 7228.05402214221
 current generation is : 17183 and best solution fitness is : 7228.05402214221
 current generation is : 17184 and best solution fitness is : 7228.05402214221
 current generation is : 17185 and best solution fitness is : 7228.05402214221
 current generation is : 17186 and best solution fitness is : 7228.05402214221
 current generation is : 17187 and best solution fitness is : 7228.05402214221
 current generation is : 17188 and best solution fitness is : 7228.05402214221
 current generation is : 17189 and best solution fitness is : 7228.05402214221
 current generation is : 17190 and best solution fitness is : 7228.05402214221
 current generation is : 17191 and best solution fitness is : 7228.05402214221
 current generation is : 17192 and best solution fitness is : 7228.05402214221
 current generation is : 17193 and best solution fitness is : 7228.05402214221
 current generation is : 17194 and best solution fitness is : 7228.05402214221
 current generation is : 17195 and best solution fitness is : 7228.05402214221
 current generation is : 17196 and best solution fitness is : 7228.05402214221
 current generation is : 17197 and best solution fitness is : 7228.05402214221
 current generation is : 17198 and best solution fitness is : 7228.05402214221
 current generation is : 17199 and best solution fitness is : 7228.05402214221
 current generation is : 17200 and best solution fitness is : 7228.05402214221
 current generation is : 17201 and best solution fitness is : 7228.05402214221
 current generation is : 17202 and best solution fitness is : 7228.05402214221
 current generation is : 17203 and best solution fitness is : 7228.05402214221
 current generation is : 17204 and best solution fitness is : 7228.05402214221
 current generation is : 17205 and best solution fitness is : 7228.05402214221
 current generation is : 17206 and best solution fitness is : 7228.05402214221
 current generation is : 17207 and best solution fitness is : 7228.05402214221
 current generation is : 17208 and best solution fitness is : 7228.05402214221
 current generation is : 17209 and best solution fitness is : 7228.05402214221
 current generation is : 17210 and best solution fitness is : 7228.05402214221
 current generation is : 17211 and best solution fitness is : 7228.05402214221
 current generation is : 17212 and best solution fitness is : 7228.05402214221
 current generation is : 17213 and best solution fitness is : 7228.05402214221
 current generation is : 17214 and best solution fitness is : 7228.05402214221
 current generation is : 17215 and best solution fitness is : 7228.05402214221
 current generation is : 17216 and best solution fitness is : 7228.05402214221
 current generation is : 17217 and best solution fitness is : 7228.05402214221
 current generation is : 17218 and best solution fitness is : 7228.05402214221
 current generation is : 17219 and best solution fitness is : 7228.05402214221
 current generation is : 17220 and best solution fitness is : 7228.05402214221
 current generation is : 17221 and best solution fitness is : 7228.05402214221
 current generation is : 17222 and best solution fitness is : 7228.05402214221
 current generation is : 17223 and best solution fitness is : 7228.05402214221
 current generation is : 17224 and best solution fitness is : 7228.05402214221
 current generation is : 17225 and best solution fitness is : 7228.05402214221
 current generation is : 17226 and best solution fitness is : 7228.05402214221
 current generation is : 17227 and best solution fitness is : 7228.05402214221
 current generation is : 17228 and best solution fitness is : 7228.05402214221
 current generation is : 17229 and best solution fitness is : 7228.05402214221
 current generation is : 17230 and best solution fitness is : 7228.05402214221
 current generation is : 17231 and best solution fitness is : 7228.05402214221
 current generation is : 17232 and best solution fitness is : 7228.05402214221
 current generation is : 17233 and best solution fitness is : 7228.05402214221
 current generation is : 17234 and best solution fitness is : 7228.05402214221
 current generation is : 17235 and best solution fitness is : 7228.05402214221
 current generation is : 17236 and best solution fitness is : 7228.05402214221
 current generation is : 17237 and best solution fitness is : 7228.05402214221
 current generation is : 17238 and best solution fitness is : 7228.05402214221
 current generation is : 17239 and best solution fitness is : 7228.05402214221
 current generation is : 17240 and best solution fitness is : 7228.05402214221
 current generation is : 17241 and best solution fitness is : 7228.05402214221
 current generation is : 17242 and best solution fitness is : 7228.05402214221
 current generation is : 17243 and best solution fitness is : 7228.05402214221
 current generation is : 17244 and best solution fitness is : 7228.05402214221
 current generation is : 17245 and best solution fitness is : 7228.05402214221
 current generation is : 17246 and best solution fitness is : 7228.05402214221
 current generation is : 17247 and best solution fitness is : 7228.05402214221
 current generation is : 17248 and best solution fitness is : 7228.05402214221
 current generation is : 17249 and best solution fitness is : 7228.05402214221
 current generation is : 17250 and best solution fitness is : 7228.05402214221
 current generation is : 17251 and best solution fitness is : 7228.05402214221
 current generation is : 17252 and best solution fitness is : 7228.05402214221
 current generation is : 17253 and best solution fitness is : 7228.05402214221
 current generation is : 17254 and best solution fitness is : 7228.05402214221
 current generation is : 17255 and best solution fitness is : 7228.05402214221
 current generation is : 17256 and best solution fitness is : 7228.05402214221
 current generation is : 17257 and best solution fitness is : 7228.05402214221
 current generation is : 17258 and best solution fitness is : 7228.05402214221
 current generation is : 17259 and best solution fitness is : 7228.05402214221
 current generation is : 17260 and best solution fitness is : 7228.05402214221
 current generation is : 17261 and best solution fitness is : 7228.05402214221
 current generation is : 17262 and best solution fitness is : 7228.05402214221
 current generation is : 17263 and best solution fitness is : 7228.05402214221
 current generation is : 17264 and best solution fitness is : 7228.05402214221
 current generation is : 17265 and best solution fitness is : 7228.05402214221
 current generation is : 17266 and best solution fitness is : 7228.05402214221
 current generation is : 17267 and best solution fitness is : 7228.05402214221
 current generation is : 17268 and best solution fitness is : 7228.05402214221
 current generation is : 17269 and best solution fitness is : 7228.05402214221
 current generation is : 17270 and best solution fitness is : 7228.05402214221
 current generation is : 17271 and best solution fitness is : 7228.05402214221
 current generation is : 17272 and best solution fitness is : 7228.05402214221
 current generation is : 17273 and best solution fitness is : 7228.05402214221
 current generation is : 17274 and best solution fitness is : 7228.05402214221
 current generation is : 17275 and best solution fitness is : 7228.05402214221
 current generation is : 17276 and best solution fitness is : 7228.05402214221
 current generation is : 17277 and best solution fitness is : 7228.05402214221
 current generation is : 17278 and best solution fitness is : 7228.05402214221
 current generation is : 17279 and best solution fitness is : 7228.05402214221
 current generation is : 17280 and best solution fitness is : 7228.05402214221
 current generation is : 17281 and best solution fitness is : 7228.05402214221
 current generation is : 17282 and best solution fitness is : 7228.05402214221
 current generation is : 17283 and best solution fitness is : 7228.05402214221
 current generation is : 17284 and best solution fitness is : 7228.05402214221
 current generation is : 17285 and best solution fitness is : 7228.05402214221
 current generation is : 17286 and best solution fitness is : 7228.05402214221
 current generation is : 17287 and best solution fitness is : 7228.05402214221
 current generation is : 17288 and best solution fitness is : 7228.05402214221
 current generation is : 17289 and best solution fitness is : 7228.05402214221
 current generation is : 17290 and best solution fitness is : 7228.05402214221
 current generation is : 17291 and best solution fitness is : 7228.05402214221
 current generation is : 17292 and best solution fitness is : 7228.05402214221
 current generation is : 17293 and best solution fitness is : 7228.05402214221
 current generation is : 17294 and best solution fitness is : 7228.05402214221
 current generation is : 17295 and best solution fitness is : 7228.05402214221
 current generation is : 17296 and best solution fitness is : 7228.05402214221
 current generation is : 17297 and best solution fitness is : 7228.05402214221
 current generation is : 17298 and best solution fitness is : 7228.05402214221
 current generation is : 17299 and best solution fitness is : 7228.05402214221
 current generation is : 17300 and best solution fitness is : 7228.05402214221
 current generation is : 17301 and best solution fitness is : 7228.05402214221
 current generation is : 17302 and best solution fitness is : 7228.05402214221
 current generation is : 17303 and best solution fitness is : 7228.05402214221
 current generation is : 17304 and best solution fitness is : 7228.05402214221
 current generation is : 17305 and best solution fitness is : 7228.05402214221
 current generation is : 17306 and best solution fitness is : 7228.05402214221
 current generation is : 17307 and best solution fitness is : 7228.05402214221
 current generation is : 17308 and best solution fitness is : 7228.05402214221
 current generation is : 17309 and best solution fitness is : 7228.05402214221
 current generation is : 17310 and best solution fitness is : 7228.05402214221
 current generation is : 17311 and best solution fitness is : 7228.05402214221
 current generation is : 17312 and best solution fitness is : 7228.05402214221
 current generation is : 17313 and best solution fitness is : 7228.05402214221
 current generation is : 17314 and best solution fitness is : 7228.05402214221
 current generation is : 17315 and best solution fitness is : 7228.05402214221
 current generation is : 17316 and best solution fitness is : 7228.05402214221
 current generation is : 17317 and best solution fitness is : 7228.05402214221
 current generation is : 17318 and best solution fitness is : 7228.05402214221
 current generation is : 17319 and best solution fitness is : 7228.05402214221
 current generation is : 17320 and best solution fitness is : 7228.05402214221
 current generation is : 17321 and best solution fitness is : 7228.05402214221
 current generation is : 17322 and best solution fitness is : 7228.05402214221
 current generation is : 17323 and best solution fitness is : 7228.05402214221
 current generation is : 17324 and best solution fitness is : 7228.05402214221
 current generation is : 17325 and best solution fitness is : 7228.05402214221
 current generation is : 17326 and best solution fitness is : 7228.05402214221
 current generation is : 17327 and best solution fitness is : 7228.05402214221
 current generation is : 17328 and best solution fitness is : 7228.05402214221
 current generation is : 17329 and best solution fitness is : 7228.05402214221
 current generation is : 17330 and best solution fitness is : 7228.05402214221
 current generation is : 17331 and best solution fitness is : 7228.05402214221
 current generation is : 17332 and best solution fitness is : 7228.05402214221
 current generation is : 17333 and best solution fitness is : 7228.05402214221
 current generation is : 17334 and best solution fitness is : 7228.05402214221
 current generation is : 17335 and best solution fitness is : 7228.05402214221
 current generation is : 17336 and best solution fitness is : 7228.05402214221
 current generation is : 17337 and best solution fitness is : 7228.05402214221
